"Sample","n_1","n_12","n_23","Parameter","Estimates","Std_Errors"
7,30,2,2,"sigma_2",0.264403623402059,0.217543754942819
7,30,2,2,"sigma2_0",1.41583560860149,0.293443974920936
7,30,2,2,"sigma2_1",3.73441049636528e-09,2.79684529122871e-05
7,30,2,2,"sigma2_2",0.0699092760681377,0.115038714110742
8,30,2,2,"intercept",1.45798761474821,0.261574734416627
8,30,2,2,"X_1_cont",1.06434149570703,0.180148977785691
8,30,2,2,"X_2_cont",-0.622293002797193,0.158377910545669
8,30,2,2,"X_3_dich",0.110514554071123,0.302655761312433
8,30,2,2,"log_sigma_0",0.142814666351273,0.109022354470342
8,30,2,2,"log_sigma_1",-0.872647686794281,0.656125136629439
8,30,2,2,"log_sigma_2",-1.66559967304366,1.10402370131127
8,30,2,2,"sigma_0",1.15351599652548,0.12575902986041
8,30,2,2,"sigma_1",0.417843763944665,0.274157796707952
8,30,2,2,"sigma_2",0.189077239454694,0.208745753736489
8,30,2,2,"sigma2_0",1.33059915424017,0.290130105303016
8,30,2,2,"sigma2_1",0.174593411067445,0.229110251382454
8,30,2,2,"sigma2_2",0.0357502024798075,0.0789381417287692
9,30,2,2,"intercept",0.858371721636567,0.206084988917393
9,30,2,2,"X_1_cont",1.03287799596935,0.196828188235428
9,30,2,2,"X_2_cont",-0.612993917519903,0.161545774396049
9,30,2,2,"X_3_dich",1.05432611619422,0.349533926611163
9,30,2,2,"log_sigma_0",0.156039859188206,0.110034787618872
9,30,2,2,"log_sigma_1",-1.84317647495672,4.13735741236124
9,30,2,2,"log_sigma_2",-3.09043861628198,12.3807781982413
9,30,2,2,"sigma_0",1.16887279248198,0.128616669474233
9,30,2,2,"sigma_1",0.15831374691588,0.655000554281095
9,30,2,2,"sigma_2",0.0454820008828476,0.563102564942751
9,30,2,2,"sigma2_0",1.36626360500462,0.300673051216157
9,30,2,2,"sigma2_1",0.0250632424625452,0.207391183960436
9,30,2,2,"sigma2_2",0.00206861240430735,0.0512220627117199
10,30,2,2,"intercept",0.758154394236425,0.187643637714973
10,30,2,2,"X_1_cont",1.0767979029616,0.166276980358391
10,30,2,2,"X_2_cont",-0.489611791253686,0.149939505571335
10,30,2,2,"X_3_dich",1.50671242487869,0.336814612370693
10,30,2,2,"log_sigma_0",0.261347895957061,0.091798483579215
10,30,2,2,"log_sigma_1",-10.2061430631186,4898.37893963825
10,30,2,2,"log_sigma_2",-11.4967222073596,11818.9529319179
10,30,2,2,"sigma_0",1.29867939216223,0.11921679885607
10,30,2,2,"sigma_1",3.69426789886949e-05,0.18095924073204
10,30,2,2,"sigma_2",1.01633524228624e-05,0.120120183916304
10,30,2,2,"sigma2_0",1.68656816362687,0.309648799747856
10,30,2,2,"sigma2_1",1.36476153086176e-09,1.33702382808034e-05
10,30,2,2,"sigma2_2",1.03293732471302e-10,2.44164752448089e-06
11,30,2,2,"intercept",0.703706157751351,0.285854417557833
11,30,2,2,"X_1_cont",1.27821124118983,0.235520846677295
11,30,2,2,"X_2_cont",-0.507295362678108,0.223833865038999
11,30,2,2,"X_3_dich",1.34670800175323,0.424275893972138
11,30,2,2,"log_sigma_0",0.283826918905453,0.11082336831258
11,30,2,2,"log_sigma_1",-0.243514512509012,0.346477805042349
11,30,2,2,"log_sigma_2",-10.4703038880367,4911.47117160935
11,30,2,2,"sigma_0",1.32820302402394,0.147195932925287
11,30,2,2,"sigma_1",0.78386810005686,0.271592898750417
11,30,2,2,"sigma_2",2.83664375504899e-05,0.139320940270488
11,30,2,2,"sigma2_0",1.76412327302633,0.391012166470781
11,30,2,2,"sigma2_1",0.614449198286752,0.42578601906485
11,30,2,2,"sigma2_2",8.04654779305843e-10,7.90407750331666e-06
12,30,2,2,"intercept",0.832931528762517,0.223187133056078
12,30,2,2,"X_1_cont",0.919332054344201,0.163710878463741
12,30,2,2,"X_2_cont",-0.257344943693103,0.177857158372945
12,30,2,2,"X_3_dich",0.956896120075444,0.305940889178943
12,30,2,2,"log_sigma_0",0.211504493828644,0.0976721355761347
12,30,2,2,"log_sigma_1",-9.01775295608562,3968.34215873315
12,30,2,2,"log_sigma_2",-16.6844450681657,1732743.41798195
12,30,2,2,"sigma_0",1.23553551790113,0.120677392613569
12,30,2,2,"sigma_1",0.000121238248056959,0.481114851015379
12,30,2,2,"sigma_2",5.67593709033967e-08,0.0983494263416566
12,30,2,2,"sigma2_0",1.5265480159952,0.298202409563526
12,30,2,2,"sigma2_1",1.46987127919208e-08,0.000116659043302579
12,30,2,2,"sigma2_2",3.22162618534936e-15,1.11645031357248e-08
13,30,2,2,"intercept",1.31497037532132,0.324818549204041
13,30,2,2,"X_1_cont",1.20485074249175,0.164195478730845
13,30,2,2,"X_2_cont",-0.611271414469397,0.129348613862559
13,30,2,2,"X_3_dich",0.604071977847595,0.299883288227928
13,30,2,2,"log_sigma_0",0.140935404291831,0.111453709716666
13,30,2,2,"log_sigma_1",-1.42560751932655,1.5726428553782
13,30,2,2,"log_sigma_2",-1.00364257250772,0.654712024849852
13,30,2,2,"sigma_0",1.15135027329637,0.128322259142177
13,30,2,2,"sigma_1",0.240362394043156,0.378004201693569
13,30,2,2,"sigma_2",0.366541851245987,0.239979357621473
13,30,2,2,"sigma2_0",1.32560745181963,0.295487736266708
13,30,2,2,"sigma2_1",0.0577740804701576,0.181715989754877
13,30,2,2,"sigma2_2",0.134352928714835,0.175924956006795
14,30,2,2,"intercept",0.706542268539733,0.18937534174402
14,30,2,2,"X_1_cont",1.37229134945744,0.169927275707415
14,30,2,2,"X_2_cont",-0.810451296602891,0.152950160767598
14,30,2,2,"X_3_dich",1.80299516238003,0.34039265992542
14,30,2,2,"log_sigma_0",0.217454245394268,0.0998370533269067
14,30,2,2,"log_sigma_1",-9.90574541357471,4453.30864681696
14,30,2,2,"log_sigma_2",-13.5870721186697,85366.1410507258
14,30,2,2,"sigma_0",1.24290855941561,0.124088328126845
14,30,2,2,"sigma_1",4.98872343006165e-05,0.222163251876719
14,30,2,2,"sigma_2",1.25663616334199e-06,0.107274179969296
14,30,2,2,"sigma2_0",1.54482168706859,0.308460890304857
14,30,2,2,"sigma2_1",2.48873614616461e-09,2.21662203987215e-05
14,30,2,2,"sigma2_2",1.57913444701889e-12,2.69609227884548e-07
15,30,2,2,"intercept",1.38621764290926,0.234412356956345
15,30,2,2,"X_1_cont",0.95106189751132,0.192068148705427
15,30,2,2,"X_2_cont",-0.603823900399699,0.165205177981046
15,30,2,2,"X_3_dich",0.514027681956687,0.324715528283893
15,30,2,2,"log_sigma_0",0.193227280822077,0.107602715889736
15,30,2,2,"log_sigma_1",-0.551915116426927,0.409168795388797
15,30,2,2,"log_sigma_2",-9.36109544908822,3505.01122342391
15,30,2,2,"sigma_0",1.21315848984657,0.130539148312182
15,30,2,2,"sigma_1",0.575845941677044,0.235618190285523
15,30,2,2,"sigma_2",8.60058320832812e-05,0.301451406731813
15,30,2,2,"sigma2_0",1.47175352148681,0.316729352064529
15,30,2,2,"sigma2_1",0.331598548545921,0.271359557322416
15,30,2,2,"sigma2_2",7.39700315233756e-09,5.18531581372905e-05
16,30,2,2,"intercept",0.932121793355892,0.181532248653093
16,30,2,2,"X_1_cont",1.12207237607288,0.148387382773138
16,30,2,2,"X_2_cont",-0.453245851432265,0.128909102660412
16,30,2,2,"X_3_dich",1.00503703836311,0.307650471035441
16,30,2,2,"log_sigma_0",0.123050651943749,0.100354555103084
16,30,2,2,"log_sigma_1",-9.98415571750258,5026.74724560668
16,30,2,2,"log_sigma_2",-13.1724555554129,53533.1371438986
16,30,2,2,"sigma_0",1.1309417038923,0.113495151541635
16,30,2,2,"sigma_1",4.61249879199102e-05,0.23185865598005
16,30,2,2,"sigma_2",1.90228349221548e-06,0.101835203075346
16,30,2,2,"sigma2_0",1.27902913760282,0.256712800136024
16,30,2,2,"sigma2_1",2.12751451061186e-09,2.13889554124129e-05
16,30,2,2,"sigma2_2",3.61868248475552e-12,3.87438851473283e-07
17,30,2,2,"intercept",0.790614396635008,0.235606447855595
17,30,2,2,"X_1_cont",1.11143221394801,0.174859508357902
17,30,2,2,"X_2_cont",-0.504394424150873,0.172859107511806
17,30,2,2,"X_3_dich",1.21227641751635,0.345448768301224
17,30,2,2,"log_sigma_0",0.260409139402232,0.105503640044929
17,30,2,2,"log_sigma_1",-8.16293792566302,5348.27035329648
17,30,2,2,"log_sigma_2",-16.5717426853923,1500599.818176
17,30,2,2,"sigma_0",1.29746082043081,0.136886839371131
17,30,2,2,"sigma_1",0.000285023784821723,1.52438425834638
17,30,2,2,"sigma_2",6.35306935147767e-08,0.0953341471368688
17,30,2,2,"sigma2_0",1.68340458055299,0.355210621833295
17,30,2,2,"sigma2_1",8.12385579141e-08,0.000868971541673081
17,30,2,2,"sigma2_2",4.03614901846849e-15,1.21132889664901e-08
18,30,2,2,"intercept",1.11786630116603,NA
18,30,2,2,"X_1_cont",1.24991618994617,NA
18,30,2,2,"X_2_cont",-0.430084357901033,NA
18,30,2,2,"X_3_dich",0.741551818724668,NA
18,30,2,2,"log_sigma_0",0.169083010006215,NA
18,30,2,2,"log_sigma_1",-9.21852299962584,NA
18,30,2,2,"log_sigma_2",-20.4793849907326,NA
18,30,2,2,"sigma_0",1.18421843682386,NA
18,30,2,2,"sigma_1",9.91850758922612e-05,NA
18,30,2,2,"sigma_2",1.27619225829018e-09,NA
18,30,2,2,"sigma2_0",1.40237330611354,NA
18,30,2,2,"sigma2_1",9.83767927975361e-09,NA
18,30,2,2,"sigma2_2",1.62866668011978e-18,NA
19,30,2,2,"intercept",1.26295597287978,0.268289212015518
19,30,2,2,"X_1_cont",1.17570513321608,0.232208160199089
19,30,2,2,"X_2_cont",-0.555197488558795,0.171866465146424
19,30,2,2,"X_3_dich",0.827989896912689,0.36829295837969
19,30,2,2,"log_sigma_0",0.283582367306091,0.110646544425168
19,30,2,2,"log_sigma_1",-0.955349023978041,1.11687057278588
19,30,2,2,"log_sigma_2",-10.4334942424532,4369.60217394881
19,30,2,2,"sigma_0",1.32787824956381,0.146925139731576
19,30,2,2,"sigma_1",0.384677859323234,0.429635381080387
19,30,2,2,"sigma_2",2.94300515986547e-05,0.128597617444907
19,30,2,2,"sigma2_0",1.76326064566464,0.390197394727365
19,30,2,2,"sigma2_1",0.147977055453506,0.33054243736705
19,30,2,2,"sigma2_2",8.66127937099479e-10,7.56926903373537e-06
20,30,2,2,"intercept",0.456706266111223,0.257512875862972
20,30,2,2,"X_1_cont",1.59594003744989,0.190347850539998
20,30,2,2,"X_2_cont",-0.319390892935043,0.192996999262761
20,30,2,2,"X_3_dich",1.27198636367203,0.346915851961553
20,30,2,2,"log_sigma_0",0.188604153274424,0.114027114508259
20,30,2,2,"log_sigma_1",-0.271235478197664,0.336030464222808
20,30,2,2,"log_sigma_2",-10.662331994226,5277.95284123742
20,30,2,2,"sigma_0",1.20756284806178,0.137694907151859
20,30,2,2,"sigma_1",0.762436937988859,0.256202038213012
20,30,2,2,"sigma_2",2.34103577598658e-05,0.123558764253068
20,30,2,2,"sigma2_0",1.45820803201907,0.332550508487803
20,30,2,2,"sigma2_1",0.581310084409827,0.390675795043267
20,30,2,2,"sigma2_2",5.4804485044491e-10,5.78510975106249e-06
21,30,2,2,"intercept",1.24775498343282,0.219024077776854
21,30,2,2,"X_1_cont",1.0381934288598,0.225096248385012
21,30,2,2,"X_2_cont",-0.51607842047236,0.172311871963971
21,30,2,2,"X_3_dich",1.62371548211424,0.361862880297503
21,30,2,2,"log_sigma_0",0.3124831021566,0.0999272582303694
21,30,2,2,"log_sigma_1",-9.88739346131638,3838.31570290419
21,30,2,2,"log_sigma_2",-16.0379414317044,3001199.63896991
21,30,2,2,"sigma_0",1.36681484475545,0.13658205994498
21,30,2,2,"sigma_1",5.08112149345821e-05,0.195029484167047
21,30,2,2,"sigma_2",1.08345414428117e-07,0.325166218665708
21,30,2,2,"sigma2_0",1.86818281984387,0.373364774120157
21,30,2,2,"sigma2_1",2.5817795631283e-09,1.9819370077185e-05
21,30,2,2,"sigma2_2",1.17387288276003e-14,7.04605374387195e-08
22,30,2,2,"intercept",0.884591682059804,0.20014422297361
22,30,2,2,"X_1_cont",1.04757440597285,0.16630089346203
22,30,2,2,"X_2_cont",-0.536451609806801,0.138948065816498
22,30,2,2,"X_3_dich",0.949133243104229,0.284544731678303
22,30,2,2,"log_sigma_0",0.0721427733077728,0.104561670657941
22,30,2,2,"log_sigma_1",-0.829127614032566,0.573944380813844
22,30,2,2,"log_sigma_2",-10.7556027766917,4683.06592481083
22,30,2,2,"sigma_0",1.07480878711553,0.112383802418635
22,30,2,2,"sigma_1",0.436429855577535,0.250486463228124
22,30,2,2,"sigma_2",2.13255904525309e-05,0.0998691459747185
22,30,2,2,"sigma2_0",1.15521392886075,0.241582196738008
22,30,2,2,"sigma2_1",0.190471018839428,0.218639541941555
22,30,2,2,"sigma2_2",4.54780808149076e-10,4.25953701180174e-06
23,30,2,2,"intercept",0.9822121433896,0.270967385635864
23,30,2,2,"X_1_cont",0.946842767318351,0.189397741858819
23,30,2,2,"X_2_cont",-0.519373661580577,0.157567129935755
23,30,2,2,"X_3_dich",0.927430530610441,0.334710101049855
23,30,2,2,"log_sigma_0",0.073192817461323,0.110366323287748
23,30,2,2,"log_sigma_1",-0.330935570003298,0.279660335324551
23,30,2,2,"log_sigma_2",-2.01558548172327,1.67520884240707
23,30,2,2,"sigma_0",1.07593797654425,0.118747318556848
23,30,2,2,"sigma_1",0.718251444487991,0.200866439812855
23,30,2,2,"sigma_2",0.133242369552354,0.223208795657373
23,30,2,2,"sigma2_0",1.15764252937013,0.255529499296219
23,30,2,2,"sigma2_1",0.515885137509085,0.288545221089486
23,30,2,2,"sigma2_2",0.0177535290439261,0.0594817376766311
24,30,2,2,"intercept",1.4293396586793,0.244621037269092
24,30,2,2,"X_1_cont",1.15564324367992,0.183713409998011
24,30,2,2,"X_2_cont",-0.506793395096995,0.150316406572358
24,30,2,2,"X_3_dich",0.93231217000026,0.334845951167097
24,30,2,2,"log_sigma_0",0.132513595978281,0.108165274156698
24,30,2,2,"log_sigma_1",-1.57309749327332,2.07155158420158
24,30,2,2,"log_sigma_2",-1.70190598632467,1.23267666184663
24,30,2,2,"sigma_0",1.14169453843781,0.12349170275333
24,30,2,2,"sigma_1",0.207401760815511,0.42964344618357
24,30,2,2,"sigma_2",0.182335663368309,0.224760916856438
24,30,2,2,"sigma2_0",1.30346641909873,0.281979605151726
24,30,2,2,"sigma2_1",0.0430154903893746,0.178217614522634
24,30,2,2,"sigma2_2",0.0332462941359613,0.0819638617485759
25,30,2,2,"intercept",0.444980561697758,0.173990851236856
25,30,2,2,"X_1_cont",0.866605124620893,0.157583745505003
25,30,2,2,"X_2_cont",-0.608188518917,0.146694624666104
25,30,2,2,"X_3_dich",1.45811779998323,0.28987291171726
25,30,2,2,"log_sigma_0",-0.00644310950778215,0.115507793283439
25,30,2,2,"log_sigma_1",-1.1218185838163,0.813832654344887
25,30,2,2,"log_sigma_2",-3.24065254272764,12.1863543374395
25,30,2,2,"sigma_0",0.993577602814488,0.114765956356951
25,30,2,2,"sigma_1",0.325686966685986,0.26505468858359
25,30,2,2,"sigma_2",0.0391383473204691,0.476953768629013
25,30,2,2,"sigma2_0",0.987196452814584,0.228057767603703
25,30,2,2,"sigma2_1",0.106072000269118,0.172649715061376
25,30,2,2,"sigma2_2",0.00153181023097767,0.0373343645048179
26,30,2,2,"intercept",1.30965119792994,0.214342787538101
26,30,2,2,"X_1_cont",1.05775499528717,0.172777927764804
26,30,2,2,"X_2_cont",-0.669340832811626,0.144905214076218
26,30,2,2,"X_3_dich",0.847639611856798,0.292329627640502
26,30,2,2,"log_sigma_0",-0.0194908800040625,0.118338157168379
26,30,2,2,"log_sigma_1",-1.14182493117143,0.840470664946148
26,30,2,2,"log_sigma_2",-10.7237696930101,4605.31766083356
26,30,2,2,"sigma_0",0.98069783910819,0.116053975019075
26,30,2,2,"sigma_1",0.319235906348806,0.268308414483667
26,30,2,2,"sigma_2",2.20153704219244e-05,0.101387774213881
26,30,2,2,"sigma2_0",0.961768251631474,0.227627765042245
26,30,2,2,"sigma2_1",0.101911563902344,0.171307359757409
26,30,2,2,"sigma2_2",4.84676534814545e-10,4.46417881114608e-06
27,30,2,2,"intercept",1.08088868637293,0.367030934620965
27,30,2,2,"X_1_cont",1.02333984747314,0.128425680946649
27,30,2,2,"X_2_cont",-0.604403348596751,0.112363992479923
27,30,2,2,"X_3_dich",0.956972676019428,0.299078777260274
27,30,2,2,"log_sigma_0",-0.0152886233416979,0.107567026668912
27,30,2,2,"log_sigma_1",-0.845585113179214,0.520726171971748
27,30,2,2,"log_sigma_2",-0.820004541991571,0.582635911772959
27,30,2,2,"sigma_0",0.984827654330764,0.105934982557679
27,30,2,2,"sigma_1",0.42930609205596,0.223550917920451
27,30,2,2,"sigma_2",0.44042965407368,0.256610133073067
27,30,2,2,"sigma2_0",0.969885508734635,0.2086554007677
27,30,2,2,"sigma2_1",0.18430372067636,0.191943541895903
27,30,2,2,"sigma2_2",0.193978280187461,0.226037424282344
28,30,2,2,"intercept",1.06626284210573,0.290786204380746
28,30,2,2,"X_1_cont",1.13086465392334,0.175076903033538
28,30,2,2,"X_2_cont",-0.33954526266001,0.169501566405236
28,30,2,2,"X_3_dich",1.17648076213662,0.319545372401792
28,30,2,2,"log_sigma_0",0.199087034258909,0.100502613006301
28,30,2,2,"log_sigma_1",-10.0347739043068,3919.19891514418
28,30,2,2,"log_sigma_2",-1.2649598953111,0.797405822437596
28,30,2,2,"sigma_0",1.22028816815456,0.122642149520205
28,30,2,2,"sigma_1",4.38483308744683e-05,0.171850330794099
28,30,2,2,"sigma_2",0.28225061548667,0.225068284175666
28,30,2,2,"sigma2_0",1.48910321333801,0.299317527953097
28,30,2,2,"sigma2_1",1.92267612047685e-09,1.5070700331093e-05
28,30,2,2,"sigma2_2",0.0796654099426038,0.127051323470221
29,30,2,2,"intercept",1.02585713278333,0.225417889452438
29,30,2,2,"X_1_cont",1.21504302070561,0.181724895684979
29,30,2,2,"X_2_cont",-0.696536047662848,0.188960930766638
29,30,2,2,"X_3_dich",0.953982430958283,0.337305342552529
29,30,2,2,"log_sigma_0",0.269591351339246,0.0999188189138974
29,30,2,2,"log_sigma_1",-9.28314492460419,2819.56097280605
29,30,2,2,"log_sigma_2",-8.38746083915938,NA
29,30,2,2,"sigma_0",1.30942924487785,0.130836623599511
29,30,2,2,"sigma_1",9.29782535821406e-05,0.262157855119868
29,30,2,2,"sigma_2",0.000227704723852904,NA
29,30,2,2,"sigma2_0",1.71460494734137,0.342642602484549
29,30,2,2,"sigma2_1",8.64495563918485e-09,4.87499590637704e-05
29,30,2,2,"sigma2_2",5.18494412649274e-08,NA
30,30,2,2,"intercept",1.15502298338614,0.233892169937706
30,30,2,2,"X_1_cont",1.10869897463957,0.1639182991228
30,30,2,2,"X_2_cont",-0.480018614272197,0.152866142263468
30,30,2,2,"X_3_dich",1.22646175811723,0.293339284811039
30,30,2,2,"log_sigma_0",0.0481698398661241,0.107620596617566
30,30,2,2,"log_sigma_1",-0.600929025270366,0.365397575310927
30,30,2,2,"log_sigma_2",-10.0449187809092,3514.35526375344
30,30,2,2,"sigma_0",1.04934886146094,0.11293155053039
30,30,2,2,"sigma_1",0.548302012978455,0.200348226080428
30,30,2,2,"sigma_2",4.34057437602195e-05,0.15254320406086
30,30,2,2,"sigma2_0",1.10113303304936,0.237009187944166
30,30,2,2,"sigma2_1",0.300635097436226,0.219702671313122
30,30,2,2,"sigma2_2",1.88405859137783e-09,1.32425024556571e-05
31,30,2,2,"intercept",0.660857637908783,0.213808203056055
31,30,2,2,"X_1_cont",0.72883804313698,0.15801705668649
31,30,2,2,"X_2_cont",-0.372341139545297,0.152100300543344
31,30,2,2,"X_3_dich",1.46141268897102,0.320435887891961
31,30,2,2,"log_sigma_0",-0.0198305002247225,0.111325790919194
31,30,2,2,"log_sigma_1",-0.528241480152491,0.326546422439046
31,30,2,2,"log_sigma_2",-10.0111281686057,3800.53170026762
31,30,2,2,"sigma_0",0.980364830843043,0.109139890182963
31,30,2,2,"sigma_1",0.589640953832253,0.192545143997469
31,30,2,2,"sigma_2",4.48975123669216e-05,0.170634419013643
31,30,2,2,"sigma2_0",0.961115201553908,0.213993819954898
31,30,2,2,"sigma2_1",0.347676454436209,0.227065004724872
31,30,2,2,"sigma2_2",2.01578661673788e-09,1.5322121875775e-05
32,30,2,2,"intercept",1.00465348965023,0.248279980455843
32,30,2,2,"X_1_cont",0.807282688382869,0.149564472354109
32,30,2,2,"X_2_cont",-0.753169034142164,0.141283912539772
32,30,2,2,"X_3_dich",0.628255882185992,0.285619633654701
32,30,2,2,"log_sigma_0",0.0640127520805741,0.102880140084839
32,30,2,2,"log_sigma_1",-9.9194486007657,4498.88745332873
32,30,2,2,"log_sigma_2",-1.45810239254219,0.863429896577425
32,30,2,2,"sigma_0",1.06610599374436,0.109681133981705
32,30,2,2,"sigma_1",4.92082827151656e-05,0.221382525707112
32,30,2,2,"sigma_2",0.232677386412703,0.200900611686226
32,30,2,2,"sigma2_0",1.13658198989764,0.233863428677148
32,30,2,2,"sigma2_1",2.42145508777566e-09,2.17877078263859e-05
32,30,2,2,"sigma2_2",0.0541387661478465,0.093490058511729
33,30,2,2,"intercept",0.940176654928504,0.230333626798256
33,30,2,2,"X_1_cont",0.813579735579758,0.199258624876017
33,30,2,2,"X_2_cont",-0.597780505081183,0.147929614073581
33,30,2,2,"X_3_dich",1.28833658470659,0.330381844440716
33,30,2,2,"log_sigma_0",0.267573748256978,0.0986572791803971
33,30,2,2,"log_sigma_1",-9.35371372815544,3945.52366848632
33,30,2,2,"log_sigma_2",-2.17003170069388,2.58549109897337
33,30,2,2,"sigma_0",1.30678999976721,0.128924345837184
33,30,2,2,"sigma_1",8.66430521310972e-05,0.341852212893138
33,30,2,2,"sigma_2",0.114173997458525,0.295195854163224
33,30,2,2,"sigma2_0",1.70770010349158,0.336954091733123
33,30,2,2,"sigma2_1",7.50701848259202e-09,5.92382382056622e-05
